miRNA	Metabolite	coef_Endo2
hsa-miR-664a-5p	CE(20:5)	-0.183924005
hsa-miR-183-5p	CE(22:4)	-0.344092166
hsa-miR-23b-5p	CE(22:4)	-0.192677477
hsa-miR-26b-5p	CE(22:4)	0.150092689
hsa-miR-4454	CE(22:4)	0.176308341
hsa-miR-500b-3p	CE(22:4)	-0.155627543
hsa-miR-10527-5p	CE(22:5)	-0.379188566
hsa-miR-150-5p	CE(22:5)	0.149899563
hsa-miR-23b-5p	CE(22:5)	-0.291464364
hsa-miR-326	CE(22:5)	-0.401459856
hsa-miR-3605-5p	CE(22:5)	-0.475949189
hsa-miR-615-3p	CE(22:5)	-0.419604758
hsa-miR-769-5p	CE(22:5)	-0.371764778
hsa-miR-125b-2-3p	CE(22:6)	-0.110998035
hsa-miR-126-5p	CE(22:6)	0.303084255
hsa-miR-181a-5p	CE(22:6)	0.113664071
hsa-miR-23b-5p	CE(22:6)	-0.081898847
hsa-miR-371b-5p	CE(22:6)	-0.189161512
hsa-miR-505-5p	CE(22:6)	-0.161417909
hsa-miR-766-5p	CE(22:6)	-0.271944155
hsa-miR-877-5p	CE(22:6)	-0.404972611
hsa-let-7c-5p	Cer(d18:1/16:0)	0.10306263
hsa-miR-1255b-5p	Cer(d18:1/16:0)	0.446360448
hsa-miR-128-3p	Cer(d18:1/16:0)	0.297126737
hsa-miR-1307-3p	Cer(d18:1/16:0)	0.418550225
hsa-miR-143-3p	Cer(d18:1/16:0)	0.153988775
hsa-miR-15a-5p	Cer(d18:1/16:0)	0.456007935
hsa-miR-144-5p	DG(30:0)	0.064612139
hsa-miR-16-5p	Cer(d18:1/16:0)	0.34646592
hsa-miR-181c-3p	Cer(d18:1/16:0)	0.571122192
hsa-miR-144-5p	TG(48:4)	0.01169672
hsa-miR-181c-3p	Cer(d18:1/16:0)	0.268734651
hsa-miR-192-5p	Cer(d18:1/16:0)	0.145546612
hsa-miR-192-5p	Cer(d18:1/16:0)	0.179997536
hsa-miR-224-5p	Cer(d18:1/16:0)	-0.384713872
hsa-miR-361-3p	Cer(d18:1/16:0)	0.671274755
hsa-miR-365a-3pXhsa-miR-365b-3p	Cer(d18:1/16:0)	0.212395171
hsa-miR-145-3p	adrenate	0.742516046
hsa-miR-374a-5p	Cer(d18:1/16:0)	0.401359929
hsa-miR-450a-5p	Cer(d18:1/16:0)	0.472702927
hsa-miR-485-3p	Cer(d18:1/16:0)	0.417621943
hsa-miR-548av-5pXhsa-miR-548k	Cer(d18:1/16:0)	0.342680106
hsa-miR-548av-5pXhsa-miR-548k	Cer(d18:1/16:0)	0.536098592
hsa-miR-574-3p	Cer(d18:1/16:0)	0.417571036
hsa-miR-625-3p	Cer(d18:1/16:0)	0.70598824
hsa-miR-652-3p	Cer(d18:1/16:0)	0.459965015
hsa-miR-671-3p	Cer(d18:1/16:0)	0.310945144
hsa-miR-6852-5p	Cer(d18:1/16:0)	0.443039413
hsa-miR-744-5p	Cer(d18:1/16:0)	0.502635874
hsa-miR-744-5p	Cer(d18:1/16:0)	0.233751556
hsa-miR-877-5p	Cer(d18:1/16:0)	-0.463101789
hsa-miR-877-5p	Cer(d18:1/16:0)	-0.568720574
hsa-miR-941	Cer(d18:1/16:0)	0.50675298
hsa-miR-941	Cer(d18:1/16:0)	0.276546862
hsa-let-7d-3p	Cer(d18:1/22:0)	0.390744842
hsa-miR-128-3p	Cer(d18:1/22:0)	0.220511284
hsa-miR-181a-5p	Cer(d18:1/22:0)	-0.269893444
hsa-miR-192-5p	Cer(d18:1/22:0)	0.150654956
hsa-miR-145-3p	Hippuric acid	-0.474065458
hsa-miR-204-5p	Cer(d18:1/22:0)	-0.306875179
hsa-miR-411-5p	Cer(d18:1/22:0)	-0.415062782
hsa-miR-128-3p	Cer(d18:1/24:0)	0.174894121
hsa-miR-143-3p	Cer(d18:1/24:0)	0.094543683
hsa-miR-181a-5p	Cer(d18:1/24:0)	-0.256733265
hsa-miR-192-5p	Cer(d18:1/24:0)	0.201419415
hsa-miR-365a-3pXhsa-miR-365b-3p	Cer(d18:1/24:0)	0.010180343
hsa-let-7c-5p	Cer(d18:1/24:1)	0.268447936
hsa-let-7d-3p	Cer(d18:1/24:1)	0.474723213
hsa-let-7d-3p	Cer(d18:1/24:1)	0.435293044
hsa-miR-10399-3p	Cer(d18:1/24:1)	0.441917667
hsa-miR-10399-5p	Cer(d18:1/24:1)	0.538416394
hsa-miR-10399-5p	Cer(d18:1/24:1)	0.331735795
hsa-miR-128-3p	Cer(d18:1/24:1)	0.331575569
hsa-miR-145-3p	taurine	0.522815628
hsa-miR-1292-5p	Cer(d18:1/24:1)	0.438450217
hsa-miR-145-3p	hippurate	-0.447110094
hsa-miR-1307-3p	Cer(d18:1/24:1)	0.42969836
hsa-miR-145-3p	Aspartic acid	0.934037489
hsa-miR-130b-3p	Cer(d18:1/24:1)	0.555486497
hsa-miR-134-5p	Cer(d18:1/24:1)	0.599084683
hsa-miR-139-5p	Cer(d18:1/24:1)	0.664276818
hsa-miR-141-3p	Cer(d18:1/24:1)	0.277811404
hsa-miR-145-3p	TG(56:6)	0.389230598
hsa-miR-143-3p	Cer(d18:1/24:1)	0.0324732
hsa-miR-143-3p	Cer(d18:1/24:1)	0.134727663
hsa-miR-145-5p	Cer(d18:1/24:1)	0.411070674
hsa-miR-146b-3p	Cer(d18:1/24:1)	0.596717767
hsa-miR-146b-3p	Cer(d18:1/24:1)	0.538939634
hsa-miR-151a-5pXhsa-miR-151b	Cer(d18:1/24:1)	0.114097425
hsa-miR-15a-5p	Cer(d18:1/24:1)	0.664169253
hsa-miR-181a-5p	Cer(d18:1/24:1)	-0.189444439
hsa-miR-181c-3p	Cer(d18:1/24:1)	0.549874406
hsa-miR-1908-5p	Cer(d18:1/24:1)	0.65516784
hsa-miR-192-5p	Cer(d18:1/24:1)	0.141086721
hsa-miR-192-5p	Cer(d18:1/24:1)	0.116090671
hsa-miR-193a-5p	Cer(d18:1/24:1)	0.431141361
hsa-miR-199a-3pXhsa-miR-199b-3p	Cer(d18:1/24:1)	0.539950538
hsa-miR-200c-3p	Cer(d18:1/24:1)	0.325661009
hsa-miR-215-5p	Cer(d18:1/24:1)	0.384281102
hsa-miR-21-5p	Cer(d18:1/24:1)	0.148696342
hsa-miR-21-5p	Cer(d18:1/24:1)	0.089333544
hsa-miR-223-3p	Cer(d18:1/24:1)	0.424889984
hsa-miR-22-5p	Cer(d18:1/24:1)	0.764244223
hsa-miR-23a-3p	Cer(d18:1/24:1)	0.386747368
hsa-miR-23b-3p	Cer(d18:1/24:1)	0.480832891
hsa-miR-23b-5p	Cer(d18:1/24:1)	0.476015487
hsa-miR-27b-3p	Cer(d18:1/24:1)	0.10092386
hsa-miR-27b-3p	Cer(d18:1/24:1)	0.14191142
hsa-miR-3143	Cer(d18:1/24:1)	0.468750482
hsa-miR-145-5p	2-Aminoadipic acid	-0.110162258
hsa-miR-320d	Cer(d18:1/24:1)	0.268243447
hsa-miR-323a-3p	Cer(d18:1/24:1)	0.81510677
hsa-miR-145-5p	hydroxyproline	-0.012036413
hsa-miR-339-3p	Cer(d18:1/24:1)	0.609707003
hsa-miR-340-5p	Cer(d18:1/24:1)	0.594304227
hsa-miR-361-3p	Cer(d18:1/24:1)	0.547023883
hsa-miR-361-5p	Cer(d18:1/24:1)	0.478096369
hsa-miR-365a-3pXhsa-miR-365b-3p	Cer(d18:1/24:1)	0.275961271
hsa-miR-371b-5p	Cer(d18:1/24:1)	0.372435537
hsa-miR-375-3p	Cer(d18:1/24:1)	0.555813196
hsa-miR-378a-3p	Cer(d18:1/24:1)	0.364138674
hsa-miR-409-3p	Cer(d18:1/24:1)	0.509683348
hsa-miR-411-3p	Cer(d18:1/24:1)	0.524465559
hsa-miR-450a-5p	Cer(d18:1/24:1)	0.723412137
hsa-miR-450b-5p	Cer(d18:1/24:1)	0.576443345
hsa-miR-485-3p	Cer(d18:1/24:1)	0.348554912
hsa-miR-486-5p	Cer(d18:1/24:1)	-0.164216452
hsa-miR-548av-5pXhsa-miR-548k	Cer(d18:1/24:1)	0.672282397
hsa-miR-548av-5pXhsa-miR-548k	Cer(d18:1/24:1)	0.270896314
hsa-miR-574-3p	Cer(d18:1/24:1)	0.436311869
hsa-miR-574-5p	Cer(d18:1/24:1)	0.333804389
hsa-miR-625-3p	Cer(d18:1/24:1)	0.714991794
hsa-miR-654-5p	Cer(d18:1/24:1)	0.51840547
hsa-miR-656-3p	Cer(d18:1/24:1)	0.321536434
hsa-miR-6852-5p	Cer(d18:1/24:1)	0.607765451
hsa-miR-7-5p	Cer(d18:1/24:1)	0.448749719
hsa-miR-769-5p	Cer(d18:1/24:1)	0.59887649
hsa-miR-873-5p	Cer(d18:1/24:1)	0.453278696
hsa-miR-93-3p	Cer(d18:1/24:1)	0.388070399
hsa-miR-93-5p	Cer(d18:1/24:1)	0.43401682
hsa-miR-941	Cer(d18:1/24:1)	0.424412991
hsa-let-7b-3p	chenodeoxycholate	0.26377641
hsa-let-7i-5p	chenodeoxycholate	0.101607162
hsa-miR-10399-3p	chenodeoxycholate	0.280694465
hsa-miR-103a-3p	chenodeoxycholate	0.177537287
hsa-miR-1468-5p	HETE	0.8661124
hsa-miR-10527-5p	chenodeoxycholate	0.223104403
hsa-miR-107	chenodeoxycholate	0.14463809
hsa-miR-10a-3p	chenodeoxycholate	0.16830797
hsa-miR-10a-5p	chenodeoxycholate	-0.075950673
hsa-miR-1468-5p	Aspartic acid	1.191173901
hsa-miR-1307-5p	chenodeoxycholate	0.264343421
hsa-miR-1-3p	chenodeoxycholate	0.161898637
hsa-miR-140-3p	chenodeoxycholate	0.128267474
hsa-miR-152-3p	chenodeoxycholate	0.180632202
hsa-miR-155-5p	chenodeoxycholate	0.381491067
hsa-miR-181b-5p	chenodeoxycholate	0.386993376
hsa-miR-194-5p	chenodeoxycholate	0.402112882
hsa-miR-2110	chenodeoxycholate	0.232582044
hsa-miR-22-3p	chenodeoxycholate	0.083373469
hsa-miR-23b-3p	chenodeoxycholate	0.374175416
hsa-miR-27b-3p	chenodeoxycholate	0.096956918
hsa-miR-320a-3p	chenodeoxycholate	0.140331621
hsa-miR-320e	chenodeoxycholate	0.14331368
hsa-miR-338-5p	chenodeoxycholate	0.242606624
hsa-miR-374b-5p	chenodeoxycholate	0.231087757
hsa-miR-378a-3p	chenodeoxycholate	0.313489884
hsa-miR-423-3p	chenodeoxycholate	0.057389041
hsa-miR-4677-3p	chenodeoxycholate	0.127263267
hsa-miR-4732-3p	chenodeoxycholate	0.240805368
hsa-miR-584-5p	chenodeoxycholate	0.15308727
hsa-miR-629-5p	chenodeoxycholate	0.305278984
hsa-miR-766-5p	chenodeoxycholate	0.406727579
hsa-miR-92b-5p	chenodeoxycholate	0.116149544
hsa-miR-10b-5p	cholate	-0.12395854
hsa-miR-1255b-5p	cholate	0.330481078
hsa-miR-1294	cholate	0.098056902
hsa-miR-1-3p	cholate	0.112264346
hsa-miR-155-5p	cholate	0.35893103
hsa-miR-2110	cholate	0.26486689
hsa-miR-2355-3p	cholate	0.120405039
hsa-miR-320a-3p	cholate	0.077926616
hsa-miR-320e	cholate	0.133733004
hsa-miR-338-5p	cholate	0.224796785
hsa-miR-4732-3p	cholate	0.321914874
hsa-miR-550a-3-5p	cholate	0.27063686
hsa-miR-146a-5p	metronidazole	-0.18402166
hsa-miR-629-5p	cholate	0.320663375
hsa-miR-651-5p	cholate	0.128800365
hsa-miR-760	cholate	0.251115659
hsa-miR-192-5p	cholesterol	0.24685894
hsa-miR-224-5p	cholesterol	-0.474975652
hsa-miR-421	cholesterol	0.368804857
hsa-let-7a-3p	Cholic acid	0.368168216
hsa-let-7b-3p	Cholic acid	0.452524581
hsa-miR-10399-3p	Cholic acid	0.437469227
hsa-miR-10399-5p	Cholic acid	0.680064882
hsa-miR-106a-5p	Cholic acid	0.531581437
hsa-miR-106b-5p	Cholic acid	0.559004917
hsa-miR-146a-5p	Aspartic acid	0.344400369
hsa-miR-125a-3p	Cholic acid	0.327801223
hsa-miR-126-5p	Cholic acid	0.290469767
hsa-miR-1294	Cholic acid	0.544954934
hsa-miR-1301-3p	Cholic acid	0.430375647
hsa-miR-142-3p	Cholic acid	0.569962306
hsa-miR-142-5p	Cholic acid	0.182777498
hsa-miR-143-3p	Cholic acid	0.070669005
hsa-miR-144-3p	Cholic acid	0.414429905
hsa-miR-146a-5p	Cholic acid	0.113945542
hsa-miR-146b-5p	Cholic acid	0.110338311
hsa-miR-148a-3p	Cholic acid	0.116117697
hsa-miR-148b-3p	Cholic acid	0.228823955
hsa-miR-151a-5pXhsa-miR-151b	Cholic acid	0.105464035
hsa-miR-151b	Cholic acid	0.207885738
hsa-miR-155-5p	Cholic acid	0.508076269
hsa-miR-15b-3p	Cholic acid	0.522828152
hsa-miR-16-5p	Cholic acid	0.204210895
hsa-miR-181a-5p	Cholic acid	0.188935864
hsa-miR-194-5p	Cholic acid	0.694911572
hsa-miR-195-5p	Cholic acid	0.485303811
hsa-miR-199a-5p	Cholic acid	0.263340438
hsa-miR-200c-3p	Cholic acid	0.428801754
hsa-miR-204-5p	Cholic acid	0.53592104
hsa-miR-205-5p	Cholic acid	0.492874886
hsa-miR-222-3p	Cholic acid	0.195478449
hsa-miR-223-3p	Cholic acid	0.237128133
hsa-miR-22-3p	Cholic acid	-0.128327086
hsa-miR-22-5p	Cholic acid	0.529499922
hsa-miR-2355-3p	Cholic acid	0.399772917
hsa-miR-146b-3p	PE(34:2)	0.824426881
hsa-miR-2355-5p	Cholic acid	0.557580566
hsa-miR-23b-3p	Cholic acid	0.357748883
hsa-miR-23c	Cholic acid	0.125155443
hsa-miR-24-3p	Cholic acid	0.066491193
hsa-miR-25-5p	Cholic acid	0.475319881
hsa-miR-146b-3p	N-acetyltryptophan	0.719081658
hsa-miR-26a-5p	Cholic acid	0.046179262
hsa-miR-27a-5p	Cholic acid	0.386717038
hsa-miR-27b-3p	Cholic acid	0.130305797
hsa-miR-28-3p	Cholic acid	0.21038693
hsa-miR-30b-5p	Cholic acid	0.461568673
hsa-miR-30c-5p	Cholic acid	0.299372677
hsa-miR-30d-5p	Cholic acid	0.070946193
hsa-miR-30e-3p	Cholic acid	0.469393939
hsa-miR-30e-5p	Cholic acid	0.110023902
hsa-miR-339-5p	Cholic acid	0.563473676
hsa-miR-361-5p	Cholic acid	0.356998769
hsa-miR-146b-5p	levulinate	-0.215196398
hsa-miR-411-5p	Cholic acid	0.386622942
hsa-miR-421	Cholic acid	0.418243145
hsa-miR-424-5p	Cholic acid	0.361723888
hsa-miR-432-5p	Cholic acid	0.382999786
hsa-miR-4454	Cholic acid	0.539830351
hsa-miR-4659a-3p	Cholic acid	0.331826875
hsa-miR-4662a-5p	Cholic acid	0.502954165
hsa-miR-486-5p	Cholic acid	-0.159056252
hsa-miR-495-3p	Cholic acid	0.46003008
hsa-miR-503-5p	Cholic acid	0.469639106
hsa-miR-146b-5p	arginine	0.162107617
hsa-miR-548av-3pXhsa-miR-548o-3p	Cholic acid	0.462643688
hsa-miR-584-5p	Cholic acid	0.165883248
hsa-miR-625-5p	Cholic acid	0.405688822
hsa-miR-628-3p	Cholic acid	0.340244883
hsa-miR-6842-3p	Cholic acid	0.493295095
hsa-miR-744-5p	Cholic acid	0.256067885
hsa-miR-95-3p	Cholic acid	0.476289612
hsa-miR-10399-3p	choline	0.295746022
hsa-miR-10a-3p	choline	0.207600832
hsa-miR-10a-5p	choline	-0.051699509
hsa-miR-148a-3p	levulinate	-0.280445315
hsa-miR-10b-5p	choline	-0.063312841
hsa-miR-23b-5p	choline	0.723974509
hsa-miR-323b-3p	choline	0.509988023
hsa-miR-339-3p	choline	0.338783472
hsa-miR-345-5p	choline	0.468404409
hsa-miR-371b-5p	choline	0.148588709
hsa-miR-409-3p	choline	0.145212143
hsa-miR-421	choline	0.312818424
hsa-miR-486-5p	choline	-0.007480977
hsa-miR-493-3p	choline	0.286709947
hsa-miR-550a-3-5p	choline	0.216295515
hsa-miR-574-3p	choline	0.206520061
hsa-miR-576-5p	choline	0.111166064
hsa-miR-625-3p	choline	0.394513864
hsa-miR-642a-3p	choline	0.184843231
hsa-miR-744-5p	choline	0.381094506
hsa-miR-766-5p	choline	0.224051328
hsa-miR-148a-5p	Aspartic acid	2.006594122
hsa-miR-873-5p	choline	0.460929449
hsa-miR-95-3p	choline	0.26750172
hsa-miR-99b-5p	choline	-0.123532595
hsa-miR-10b-5p	cinnamoylglycine	-0.125475241
hsa-miR-1255b-5p	cinnamoylglycine	0.337277004
hsa-miR-1294	cinnamoylglycine	0.103458444
hsa-miR-1-3p	cinnamoylglycine	0.109362722
hsa-miR-155-5p	cinnamoylglycine	0.353398442
hsa-miR-2110	cinnamoylglycine	0.264346531
hsa-miR-2355-3p	cinnamoylglycine	0.115480543
hsa-miR-320a-3p	cinnamoylglycine	0.079190951
hsa-miR-320e	cinnamoylglycine	0.134871254
hsa-miR-338-5p	cinnamoylglycine	0.223064656
hsa-miR-4732-3p	cinnamoylglycine	0.317994668
hsa-miR-550a-3-5p	cinnamoylglycine	0.27629641
hsa-miR-629-5p	cinnamoylglycine	0.3235342
hsa-miR-651-5p	cinnamoylglycine	0.125177136
hsa-miR-760	cinnamoylglycine	0.2424594
hsa-let-7b-5p	Citraconic acid	0.068275031
hsa-miR-125a-5p	Citraconic acid	-0.159418806
hsa-miR-1292-5p	Citraconic acid	0.373706775
hsa-miR-144-3p	Citraconic acid	0.274240951
hsa-miR-186-5p	Citraconic acid	0.342063713
hsa-miR-193b-5p	Citraconic acid	0.137749535
hsa-miR-29c-3p	Citraconic acid	0.279964662
hsa-miR-30e-3p	Citraconic acid	0.416580933
hsa-miR-335-3p	Citraconic acid	-0.132106411
hsa-miR-338-3p	Citraconic acid	0.284120902
hsa-miR-451a	Citraconic acid	0.318206886
hsa-miR-550a-3-5pXhsa-miR-550a-5p	Citraconic acid	0.516020562
hsa-miR-873-3p	Citraconic acid	0.364543975
hsa-miR-148b-3p	Adipic acid	-0.49221041
hsa-miR-99b-5p	Citraconic acid	-0.138289512
hsa-miR-100-5p	Citric acid/Isocitric acid	0.119780583
hsa-miR-10a-5p	Citric acid/Isocitric acid	0.108268974
hsa-miR-125b-1-3p	Citric acid/Isocitric acid	-0.006101371
hsa-miR-1294	Citric acid/Isocitric acid	-0.473402364
hsa-miR-1468-5p	Citric acid/Isocitric acid	-0.24470526
hsa-miR-200b-3p	Citric acid/Isocitric acid	-0.312574762
hsa-miR-22-5p	Citric acid/Isocitric acid	-0.440675771
hsa-miR-330-3p	Citric acid/Isocitric acid	-0.068439944
hsa-miR-331-5p	Citric acid/Isocitric acid	-0.248625161
hsa-miR-3605-3p	Citric acid/Isocitric acid	-0.29556615
hsa-miR-378a-3p	Citric acid/Isocitric acid	-0.222733864
hsa-miR-382-5p	Citric acid/Isocitric acid	-0.409307425
hsa-miR-148b-3p	sphingosine	-0.473563197
hsa-miR-4738-3p	Citric acid/Isocitric acid	-0.493473257
hsa-miR-486-3p	Citric acid/Isocitric acid	-0.336629018
hsa-miR-501-3p	Citric acid/Isocitric acid	0.086955509
hsa-miR-148b-3p	sebacate	-0.482029126
hsa-miR-576-5p	Citric acid/Isocitric acid	-0.171703422
hsa-miR-656-3p	Citric acid/Isocitric acid	-0.330720132
hsa-miR-660-5p	Citric acid/Isocitric acid	-0.353682591
hsa-miR-92b-5p	Citric acid/Isocitric acid	-0.431820645
hsa-miR-99a-5p	Citric acid/Isocitric acid	0.093143167
hsa-miR-10399-5p	citrulline	0.356893033
hsa-miR-106a-5p	citrulline	0.52614595
hsa-miR-106b-3p	citrulline	0.481471202
hsa-miR-106b-3p	citrulline	0.271606273
hsa-miR-122-5p	citrulline	0.124467993
hsa-miR-1294	citrulline	0.354389149
hsa-miR-134-5p	citrulline	0.558781922
hsa-miR-141-3p	citrulline	0.20618604
hsa-miR-141-3p	citrulline	0.324142293
hsa-miR-142-5p	citrulline	0.316896623
hsa-miR-143-3p	citrulline	0.135531589
hsa-miR-143-3p	citrulline	0.040142153
hsa-miR-145-5p	citrulline	0.499951378
hsa-miR-1468-5p	citrulline	0.440999111
hsa-miR-150-3p	citrulline	0.657962401
hsa-miR-150-3p	citrulline	0.405833619
hsa-miR-16-2-3p	citrulline	0.27645157
hsa-miR-181d-5p	citrulline	0.199592063
hsa-miR-197-3p	citrulline	0.380160312
hsa-miR-200a-3p	citrulline	0.453755387
hsa-miR-200a-3p	citrulline	0.142692473
hsa-miR-200b-3p	citrulline	0.37591143
hsa-miR-204-5p	citrulline	0.441130606
hsa-miR-223-3p	citrulline	0.310636714
hsa-miR-150-5p	N-Oleoyl Dopamine	-0.571188574
hsa-miR-223-3p	citrulline	0.117356268
hsa-miR-22-3p	citrulline	-0.136424681
hsa-miR-22-3p	citrulline	-0.062884718
hsa-miR-224-5p	citrulline	0.450821444
hsa-miR-2355-5p	citrulline	0.399362532
hsa-miR-2355-5p	citrulline	0.286204924
hsa-miR-3131	citrulline	0.528978666
hsa-miR-32-5p	citrulline	0.29495551
hsa-miR-32-5p	citrulline	0.548836033
hsa-miR-330-3p	citrulline	0.333926176
hsa-miR-338-5p	citrulline	0.700821404
hsa-miR-345-5p	citrulline	0.566982842
hsa-miR-3605-3p	citrulline	0.505438039
hsa-miR-361-3p	citrulline	0.661698245
hsa-miR-363-3p	citrulline	0.27040071
hsa-miR-365a-3pXhsa-miR-365b-3p	citrulline	0.573580682
hsa-miR-365a-3pXhsa-miR-365b-3p	citrulline	0.267251389
hsa-miR-371b-5p	citrulline	0.251242263
hsa-miR-374a-3p	citrulline	0.124651245
hsa-miR-374a-5p	citrulline	0.07695446
hsa-miR-375-3p	citrulline	0.28198981
hsa-miR-382-5p	citrulline	0.533296657
hsa-miR-410-3p	citrulline	0.414334896
hsa-miR-4446-3p	citrulline	0.351527374
hsa-miR-450b-5p	citrulline	0.535367211
hsa-miR-450b-5p	citrulline	0.294398391
hsa-miR-451a	citrulline	0.157960129
hsa-miR-486-3p	citrulline	0.63127647
hsa-miR-486-3p	citrulline	0.315273641
hsa-miR-5010-5p	citrulline	0.44504912
hsa-miR-532-5p	citrulline	0.538023661
hsa-miR-548av-3pXhsa-miR-548o-3p	citrulline	0.656143109
hsa-miR-548av-3pXhsa-miR-548o-3p	citrulline	0.443391244
hsa-miR-576-5p	citrulline	0.488215043
hsa-miR-671-3p	citrulline	0.22734777
hsa-miR-760	citrulline	0.40162547
hsa-miR-766-5p	citrulline	0.491707843
hsa-miR-766-5p	citrulline	0.254388021
hsa-miR-7706	citrulline	0.415566284
hsa-miR-885-5p	citrulline	0.455133876
hsa-miR-99b-5p	citrulline	-0.263805936
hsa-miR-10b-5p	cortisol	0.130416464
hsa-miR-142-5p	cortisol	-0.312462502
hsa-miR-146a-5p	cortisol	-0.086141573
hsa-miR-23b-3p	cortisol	-0.479351679
hsa-miR-27a-5p	cortisol	-0.541365767
hsa-miR-30c-5p	cortisol	-0.396616293
hsa-miR-30d-5p	cortisol	-0.150606884
hsa-miR-320d	cortisol	0.298007168
hsa-miR-378a-3p	cortisol	-0.349763912
hsa-miR-425-5p	cortisol	-0.494799896
hsa-miR-450b-5p	cortisol	-0.556095592
hsa-miR-503-5p	cortisol	-0.695225888
hsa-miR-574-3p	cortisol	-0.532027909
hsa-miR-625-3p	cortisol	-0.590257996
hsa-miR-766-5p	cortisol	-0.459593765
hsa-miR-885-5p	cortisol	-0.449581588
hsa-miR-941	cortisol	-0.56924763
hsa-miR-3131	cortisone	-0.45425717
hsa-miR-454-5p	cortisone	0.363657235
hsa-miR-151a-3p	sphingosine	-0.360846901
hsa-let-7a-3p	cotinine	-0.386166746
hsa-miR-1307-5p	cotinine	-0.302583597
hsa-miR-183-5p	cotinine	0.151475112
hsa-miR-27a-3p	cotinine	-0.097238483
hsa-miR-27b-3p	cotinine	-0.018001573
hsa-miR-338-3p	cotinine	-0.376961016
hsa-miR-501-3p	cotinine	0.167643171
hsa-miR-625-5p	cotinine	-0.274827351
hsa-miR-885-5p	cotinine	-0.253119261
hsa-miR-99b-5p	cotinine	0.138552727
hsa-miR-144-3p	creatine	0.299522191
hsa-miR-181a-5p	creatine	0.248708419
hsa-miR-193b-5p	creatine	0.186743617
hsa-miR-323a-3p	creatine	0.340333671
hsa-miR-323b-3p	creatine	0.359134618
hsa-miR-3605-3p	creatine	0.454914092
hsa-miR-505-5p	creatine	0.519181572
hsa-miR-151a-3p	2-aminooctanoate	0.026392051
hsa-miR-122-5p	creatinine	0.079294711
hsa-miR-125b-5p	creatinine	0.104673002
hsa-miR-194-5p	creatinine	-0.262230301
hsa-miR-151a-5p	sphingosine	-0.498260518
hsa-miR-224-5p	creatinine	-0.352370731
hsa-miR-23b-3p	creatinine	-0.167849329
hsa-miR-26b-5p	creatinine	-0.204170514
hsa-miR-3158-3p	creatinine	-0.209019248
hsa-miR-151a-5p	Oxalic acid	0.361040717
hsa-miR-3177-3p	creatinine	-0.367379978
hsa-miR-320b	creatinine	0.256322493
hsa-miR-320c	creatinine	0.188605423
hsa-miR-320d	creatinine	0.305817593
hsa-miR-331-3p	creatinine	-0.312105175
hsa-miR-340-3p	creatinine	-0.402860329
hsa-miR-362-5p	creatinine	-0.384818343
hsa-miR-151a-5p	13-docosenoate	-0.317093363
hsa-miR-374a-3p	creatinine	-0.411116923
hsa-miR-3928-3p	creatinine	-0.284641642
hsa-miR-411-5p	creatinine	-0.565028971
hsa-miR-421	creatinine	-0.393349163
hsa-miR-425-3p	creatinine	-0.287012245
hsa-miR-4286	creatinine	-0.034884057
hsa-miR-4677-3p	creatinine	-0.461963948
hsa-miR-503-5p	creatinine	-0.314979822
hsa-miR-543	creatinine	-0.390732358
hsa-miR-151a-5pXhsa-miR-151b	Adipic acid	-0.229261816
hsa-miR-151a-5pXhsa-miR-151b	a-Ketoglutaric acid	-0.236982543
hsa-miR-151a-5pXhsa-miR-151b	sphingosine	-0.256698876
hsa-miR-548av-3pXhsa-miR-548o-3p	creatinine	-0.098212866
hsa-miR-671-3p	creatinine	-0.341098127
hsa-miR-6852-5p	creatinine	-0.453713534
hsa-miR-98-5p	creatinine	-0.508632332
hsa-miR-100-5p	cyclic-AMP	0.116752487
hsa-miR-126-3p	cyclic-AMP	-0.14529201
hsa-miR-126-5p	cyclic-AMP	-0.331506372
hsa-miR-128-3p	cyclic-AMP	-0.422357051
hsa-miR-1307-5p	cyclic-AMP	-0.157099836
hsa-miR-130b-5p	cyclic-AMP	-0.352787115
hsa-miR-146a-5p	cyclic-AMP	-0.137146886
hsa-miR-148a-3p	cyclic-AMP	-0.148317269
hsa-miR-151a-5pXhsa-miR-151b	cyclic-AMP	-0.117897577
hsa-miR-16-2-3p	cyclic-AMP	-0.394026867
hsa-miR-181a-2-3p	cyclic-AMP	-0.159186379
hsa-miR-199a-3pXhsa-miR-199b-3p	cyclic-AMP	-0.384196277
hsa-miR-2110	cyclic-AMP	-0.273435519
hsa-miR-23b-5p	cyclic-AMP	-0.44797145
hsa-miR-24-3p	cyclic-AMP	-0.187589662
hsa-miR-27a-3p	cyclic-AMP	-0.220441685
hsa-miR-27b-3p	cyclic-AMP	-0.071898263
hsa-miR-28-3p	cyclic-AMP	-0.067598003
hsa-miR-29b-3p	cyclic-AMP	-0.466973468
hsa-miR-151a-5pXhsa-miR-151b	12.13-diHOME	-0.263028942
hsa-miR-30b-5p	cyclic-AMP	-0.35484809
hsa-miR-30c-5p	cyclic-AMP	-0.251470947
hsa-miR-30d-5p	cyclic-AMP	-0.089488503
hsa-miR-30e-5p	cyclic-AMP	-0.119829841
hsa-miR-320c	cyclic-AMP	0.173648583
hsa-miR-323a-3p	cyclic-AMP	-0.239490414
